source_world_id,edge_id,source_gene,target_gene,sign,strength,abs_strength,source_outdegree,target_indegree,is_in_largest_scc,is_cycle_associated
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0000,17,15,1,0.09880388,0.09880388,2,2,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0001,10,15,1,0.05466846,0.05466846,4,2,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0002,9,11,-1,-0.06149058,0.06149058,3,6,False,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0003,7,11,1,0.06192566,0.06192566,3,6,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0004,2,11,-1,-0.08491566,0.08491566,3,6,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0005,14,11,1,0.04390979,0.04390979,1,6,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0006,16,11,1,0.06485201,0.06485201,2,6,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0007,4,11,-1,-0.07645481,0.07645481,2,6,False,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0008,17,14,1,0.0997084,0.0997084,2,3,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0009,11,14,-1,-0.07501901,0.07501901,2,3,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0010,5,14,1,0.06555906,0.06555906,3,3,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0011,18,5,1,0.0731037,0.0731037,2,1,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0012,7,1,1,0.0355803,0.0355803,3,3,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0013,10,1,1,0.04555071,0.04555071,4,3,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0014,11,1,1,0.09094006,0.09094006,2,3,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0015,15,17,1,0.08192547,0.08192547,1,1,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0016,2,0,1,0.09833075,0.09833075,3,1,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0017,12,7,-1,-0.04119609,0.04119609,1,4,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0018,8,7,1,0.03690265,0.03690265,3,4,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0019,3,7,1,0.0499312,0.0499312,2,4,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0020,4,7,-1,-0.05286008,0.05286008,2,4,False,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0021,6,9,1,0.09832432,0.09832432,1,1,False,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0022,10,12,1,0.04100821,0.04100821,4,4,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0023,2,12,1,0.06793031,0.06793031,3,4,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0024,8,12,1,0.0698131,0.0698131,3,4,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0025,0,12,1,0.03767331,0.03767331,2,4,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0026,8,18,1,0.02287329,0.02287329,3,2,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0027,16,18,-1,-0.06540401,0.06540401,2,2,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0028,3,16,-1,-0.08685027,0.08685027,2,1,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0029,1,3,-1,-0.03040745,0.03040745,1,1,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0030,7,10,-1,-0.0597898,0.0597898,3,1,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0031,18,2,-1,-0.06697989,0.06697989,2,2,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0032,5,2,1,0.04231659,0.04231659,3,2,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0033,10,8,1,0.07823585,0.07823585,4,1,True,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0034,0,19,-1,-0.06306988,0.06306988,2,2,False,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0035,9,19,-1,-0.07991931,0.07991931,3,2,False,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0036,5,13,-1,-0.02521086,0.02521086,3,2,False,NA
baseline_balanced_r010_t000,baseline_balanced_r010_t000_e0037,9,13,-1,-0.09737635,0.09737635,3,2,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0000,12,10,-1,-0.1436602,0.1436602,1,5,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0001,2,10,1,0.16775627,0.16775627,3,5,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0002,19,10,-1,-0.16903888,0.16903888,2,5,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0003,18,10,1,0.10237054,0.10237054,3,5,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0004,9,10,-1,-0.14647809,0.14647809,3,5,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0005,11,18,1,0.1003624,0.1003624,4,4,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0006,13,18,1,0.1328023,0.1328023,3,4,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0007,9,18,1,0.11355259,0.11355259,3,4,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0008,4,18,-1,-0.1299729,0.1299729,1,4,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0009,18,7,1,0.17193362,0.17193362,3,4,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0010,16,7,-1,-0.18846486,0.18846486,2,4,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0011,17,7,1,0.1543736,0.1543736,2,4,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0012,13,7,-1,-0.13270316,0.13270316,3,4,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0013,1,3,1,0.18105754,0.18105754,3,2,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0014,18,3,-1,-0.10012451,0.10012451,3,2,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0015,6,0,1,0.14241136,0.14241136,1,3,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0016,11,0,-1,-0.14280346,0.14280346,4,3,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0017,13,0,1,0.10785543,0.10785543,3,3,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0018,7,14,-1,-0.17205923,0.17205923,2,4,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0019,10,14,-1,-0.15865751,0.15865751,1,4,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0020,8,14,-1,-0.17351061,0.17351061,1,4,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0021,2,14,-1,-0.19845202,0.19845202,3,4,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0022,3,16,-1,-0.1492516,0.1492516,2,2,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0023,0,16,1,0.18195118,0.18195118,1,2,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0024,16,11,1,0.11285752,0.11285752,2,3,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0025,3,11,1,0.18778095,0.18778095,2,3,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0026,7,11,-1,-0.12225346,0.12225346,2,3,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0027,17,13,1,0.19503075,0.19503075,2,2,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0028,15,13,1,0.18068244,0.18068244,1,2,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0029,9,2,-1,-0.18423979,0.18423979,3,1,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0030,11,19,1,0.12035868,0.12035868,4,2,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0031,14,19,-1,-0.16224615,0.16224615,2,2,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0032,1,17,1,0.10279058,0.10279058,3,1,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0033,14,8,-1,-0.15732738,0.15732738,2,2,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0034,19,8,1,0.16667851,0.16667851,2,2,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0035,2,1,1,0.10608499,0.10608499,3,1,True,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0036,1,12,1,0.11824962,0.11824962,3,1,False,NA
chen_balanced_r010_t006,chen_balanced_r010_t006_e0037,11,9,-1,-0.19632104,0.19632104,4,1,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0000,17,4,1,0.10169159,0.10169159,3,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0001,14,4,-1,-0.19411019,0.19411019,8,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0002,16,4,-1,-0.15958342,0.15958342,4,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0003,5,4,1,0.18002822,0.18002822,3,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0004,18,4,-1,-0.14976811,0.14976811,5,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0005,12,4,-1,-0.1702859,0.1702859,7,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0006,2,19,1,0.10921611,0.10921611,4,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0007,12,19,1,0.1985405,0.1985405,7,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0008,7,19,1,0.15311245,0.15311245,5,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0009,14,19,-1,-0.10988938,0.10988938,8,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0010,19,17,1,0.14050754,0.14050754,8,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0011,13,17,-1,-0.13692072,0.13692072,7,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0012,0,17,1,0.1384055,0.1384055,3,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0013,4,17,1,0.17385766,0.17385766,4,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0014,14,17,1,0.18431277,0.18431277,8,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0015,2,17,-1,-0.18860824,0.18860824,4,6,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0016,19,11,1,0.10492363,0.10492363,8,8,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0017,15,11,-1,-0.19671078,0.19671078,5,8,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0018,16,11,1,0.17619601,0.17619601,4,8,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0019,6,11,-1,-0.10971998,0.10971998,4,8,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0020,7,11,1,0.14190681,0.14190681,5,8,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0021,18,11,1,0.18921685,0.18921685,5,8,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0022,1,11,-1,-0.14643568,0.14643568,6,8,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0023,5,11,1,0.17863297,0.17863297,3,8,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0024,12,0,-1,-0.19120858,0.19120858,7,3,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0025,19,0,1,0.11933764,0.11933764,8,3,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0026,11,0,1,0.18987588,0.18987588,5,3,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0027,6,8,1,0.10172083,0.10172083,4,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0028,9,8,1,0.13853505,0.13853505,3,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0029,14,8,1,0.1671356,0.1671356,8,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0030,7,8,-1,-0.17096318,0.17096318,5,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0031,15,8,-1,-0.16333427,0.16333427,5,5,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0032,8,3,1,0.15576646,0.15576646,6,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0033,12,3,-1,-0.13077566,0.13077566,7,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0034,15,3,1,0.1927756,0.1927756,5,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0035,13,3,-1,-0.14209495,0.14209495,7,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0036,13,18,-1,-0.15676526,0.15676526,7,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0037,11,18,-1,-0.16689698,0.16689698,5,4,True,NA
chen_balanced_r025_t000,chen_balanced_r025_t000_e0038,8,18,1,0.10599116,0.10599116,6,4,True,NA
